,count,mean,std,min,25%,50%,75%,max,range,cv,missing,missing_pct,skewness,kurtosis
Age,80.0,47.11,12.5,21.0,38.0,48.0,55.0,77.0,56.0,0.27,0,0.0,0.09,-0.38
Nb enfants,80.0,2.38,1.64,0.0,1.0,3.0,4.0,7.0,7.0,0.69,0,0.0,0.02,-0.64
Nb pers à charge,80.0,1.48,1.26,0.0,1.0,1.0,2.0,5.0,5.0,0.86,0,0.0,0.93,0.47
H travail / jour,80.0,6.2,2.22,1.0,4.15,6.0,8.0,11.0,10.0,0.36,0,0.0,0.05,-0.63
J travail / Sem,80.0,6.48,1.02,2.0,6.0,7.0,7.0,7.0,5.0,0.16,0,0.0,-2.33,5.67
Ancienneté agricole,80.0,17.48,12.64,1.0,6.0,15.0,30.0,50.0,49.0,0.72,0,0.0,0.51,-0.82
Poids,80.0,73.08,13.51,46.0,64.0,72.0,82.0,110.0,64.0,0.18,0,0.0,0.43,-0.14
Taille,80.0,159.82,6.25,143.0,156.0,160.0,164.0,175.0,32.0,0.04,0,0.0,-0.14,-0.12
TAS,80.0,124.62,18.69,100.0,110.0,120.0,132.5,190.0,90.0,0.15,0,0.0,1.03,1.32
TAD,80.0,73.75,10.72,10.0,70.0,70.0,80.0,100.0,90.0,0.15,0,0.0,-2.45,15.14
GAD,80.0,1.05,0.32,0.73,0.9,0.97,1.03,2.43,1.7,0.3,0,0.0,2.81,7.63
