,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Age,0.8702525946141001,0.04386351379406634,0.09771942810519677,-0.081021877837198,0.049499502387156405,0.07981903289067117,-0.21934905182804706,0.08931232451759875,0.09030234760610348,0.1036517649098625,0.39175353387916195
Nb enfants,0.21242668825124114,-0.696128426314984,0.2584342114460855,0.3459388250395045,-0.1880458161773838,0.18969932168688627,0.04040264485589336,-0.3470073090045453,0.20315188354783487,-0.24675782870358307,0.030377789052396884
Nb pers à charge,0.05365707738831108,-0.5957484190284846,-0.16935775008940168,-0.21648265046501816,-0.6623091596406643,0.19437887388279082,-0.07704826270712745,0.21317083765883213,-0.16880017545220324,0.14661485010287623,-0.03888390127032977
H travail / jour,0.41861945748937873,0.06920370764876414,-0.33591256646278284,-0.4485201688458605,0.2169071971010449,0.5622627872256432,0.3579793899403059,-0.09563175379856245,-0.07842172014362703,-0.10589474593192233,-0.027797786279766756
J travail / Sem,0.4404870261454467,-0.09068101561529893,-0.24977580870500657,-0.5279742234227884,-0.18550871957799658,-0.5841663451629121,0.16057669082082135,-0.13263052351330396,0.209938303829787,-0.06825244367688589,-0.038595402496239155
Ancienneté agricole,0.7733661955212657,-0.07140211556871315,0.1162485171640002,-0.08254458970310369,0.2021585691185568,0.036436543089840914,-0.4883244429338866,0.0989457491120112,-0.030851254082612845,-0.1159903456912434,-0.2903189187545674
Poids,-0.12823485666076317,-0.5756701726325727,-0.539723735794653,0.029055960434303005,0.33879678550136977,-0.20762850578800318,-0.17721416959729405,-0.2678532223853233,-0.3185028576523347,0.027158471370193137,0.09719681105691379
Taille,-0.443519335787043,-0.5866735576589296,-0.2656773874826695,-0.10269300720208027,0.3636360794165658,0.10398281865762288,-0.03514737164553568,0.30608092803594167,0.38054245953484256,0.08727239961026227,-0.015462959425173742
TAS,0.6711412338447212,0.03250309472406253,-0.3312505794515011,0.49171344310952975,0.010813904288582643,-0.0008113808674996171,0.2050790946649582,-0.12003529192553115,0.09384674397895543,0.3508656126881515,-0.14548116589323684
TAD,0.14568793546240116,0.24717619437812882,-0.7515447371473971,0.4030252224853776,-0.16945825020356511,-0.042162080634246236,-0.009169201066220439,0.2821030453355676,0.01704003375042246,-0.2994372700356766,0.05454701522833433
GAD,0.4151730244334802,-0.4431477506074059,0.4206695946191625,0.14995078391979857,0.21468643410531946,-0.2414528796514119,0.40679528405429916,0.35491602948184653,-0.20714859944531708,-0.07520138657574035,0.007627144903362024
